producto,marca,precio_cop,descripcion,modo_de_uso
Aceite de Orégano (Orgánico),Piping Rock,61500,"Suplemento herbal elaborado con aceite de orégano orgánico, cosechado de forma silvestre en el Mediterráneo (Origanum minutiflorum). Diseñado para proporcionar los beneficios naturales de la planta en una presentación líquida que permite su uso tanto interno como tópico. Requiere agitarse antes de su aplicación.","Diluir unas gotas en agua o aceite, según etiqueta."
"Alpha Lipoic Acid 600 mg  X 90 Cap + Biotin, Carlyle",Carlyle,56455,Suplemento en cápsulas con Ácido alfa lipoico y Biotina. 90 cápsulas · 600 mg.,1 cápsula al día con comida.
"Ashwagandha (KSM-66) Cáp 600mg  + Melatonina 5Mg  X 70 Cap, Carlyle",Carlyle,55063,Suplemento en cápsulas con Ashwagandha KSM-66 y Melatonina. 70 cápsulas.,1 cápsula antes de dormir.
"Astaxantina 10mg x 60 cáp, Horbaach",Horbaach,60418,Suplemento en cápsulas con Astaxantina. 60 cápsulas · 10 mg.,1 cápsula al día con comida.
Astaxantina 12mg con aceite de coco Carlyle x120 Sosftgels,CARLYLE,99628,Suplemento en cápsulas blandas con Astaxantina y Aceite de coco. 120 cápsulas blandas · 12 mg.,1 cápsula blanda al día con comida.
Biotina 10000 Mcg Natures Bounty x120 Cápsulas Blandas,Natures Bounty,49843,Suplemento en cápsulas blandas con Biotina (vitamina B7) 10. 120 cápsulas blandas · 10 000 mcg.,1 cápsula blanda al día.
"Biotina Sublingual 10.000 mcg, x 90 comp, Piping Rock",Piping Rock,39200,Suplemento en tabletas con Biotina (vitamina B7) 10. 90 comprimidos sublinguales · 10 000 mcg.,Disolver 1 comprimido bajo la lengua al día.
"Calcio Plus vitamina D3 1200 mg, Nature's Bounty x120 Caps",Nature's Bounty,65978,Suplemento en cápsulas con Calcio y Vitamina D3. 120 cápsulas · 1200 mg.,1 cápsula al día con comida.
Calming Citrato de magnesio 16 OZ (453g) sabor Naranja,Natural Vitality,39329,Suplemento en polvo con Citrato de magnesio. 453 g · polvo · sabor naranja.,"Disolver una porción en agua tibia por la noche, según etiqueta."
Carlyle Glucosamina condroitina MSM | 250 mini tabletas,CARLYLE,61832,Suplemento en tabletas con Glucosamina y Condroitina y MSM. 250 mini tabletas.,"Tomar según indicación de la etiqueta, con comidas."
"Carlyle Suplemento de berberina HCL | 500,000mcg | 60 cápsulas",CARLYLE,56311,Suplemento en cápsulas con Berberina HCL. 60 cápsulas · 500 mg.,"1 cápsula con las comidas principales, según etiqueta."
Centrum Multi Beauty para Mujer Gomas x100 Unidades,Centrum,77159,Suplemento en gomitas con Biotina y Vitaminas y minerales (ver etiqueta). 100 gomitas.,2 gomitas al día.
Centrum Multivitamínicas para Mujeres Gomas tropicales x100 Unidades,Centrum,68713,"Suplemento en gomitas con Vitaminas A, C, D, E y Vitaminas del complejo B y Minerales. 100 gomitas · sabor tropical.",2 gomitas al día.
Centrum Multivitaminico Mujer X170 Gomas,Centrum,96090,"Suplemento en gomitas con Vitaminas A, C, D, E y Complejo B y Minerales. 170 gomitas.",2 gomitas al día.
Collagen Complex 150 Caps con Vitamina C y Biotin Doctor's Way,Doctor's Way,59437,Suplemento en cápsulas con Colágeno hidrolizado y Vitamina C y Biotina. 150 cápsulas.,Tomar según indicación de la etiqueta.
"Controlador de acido Kirkland 125x2,  250 Tb",Kirkland Signature,75812,Suplemento en tabletas con Famotidina. 250 tabletas.,"Según etiqueta, antes de comidas que causen acidez."
Crema Bengay para el dolor X 2 tubos con (113g) C/U (223g),Johnson & Johnson,74155,Suplemento en tópico con Mentol y Salicilato de metilo. 2 tubos · 113 g c/u.,Aplica una capa fina sobre la zona adolorida hasta 3-4 veces al día. Lava tus manos después.
"DHT - Fórmula Capilar sin OMG y sin gluten X 120 Comp, Horbäach",Horbäach,100802,Suplemento en tabletas con Mezcla de hierbas y nutrientes (ver etiqueta). 120 comprimidos.,Tomar según indicación de la etiqueta.
"Espirulina (ecol0gica), 1000 mg  X 300 comp, Piping Rock",Piping Rock,55589,Suplemento en tabletas con Espirulina (Arthrospira platensis). 300 comprimidos · 1000 mg.,"Tomar según indicación de la etiqueta, con agua."
"Fenogreco 2000 mg x100 Cap, Piping Rock",Piping Rock,38375,Suplemento en cápsulas con Semilla de fenogreco (Trigonella foenum-graecum). 100 cápsulas · 2000 mg.,2 cápsulas al día con agua y alimentos.
Glicinato de Magnesio DEAL SUPPLEMENT (1000mg)  240Caps,Sin marca,117741,Suplemento en cápsulas con Magnesio (como glicinato). 240 cápsulas · 1000 mg.,"Tomar según etiqueta, preferiblemente por la noche."
Glicinato de Magnesio Horbäach Buffered (1330mg)  250Caps,Sin marca,104637,Suplemento en cápsulas con Magnesio (como glicinato buffered). 250 cápsulas · 1330 mg.,"Tomar según etiqueta, preferiblemente por la noche."
Glucosamina Chondroitina Turmeric 200 Caps Doctor's Way,Doctor's Way,62609,Suplemento en cápsulas con Glucosamina y Condroitina y Cúrcuma. 200 cápsulas.,"Tomar según indicación de la etiqueta, con comidas."
Hair Skin & Nails 5000mcg x 150 Softgels,Nature's Products,61420,Suplemento en cápsulas blandas con Biotina y Vitaminas y antioxidantes (ver etiqueta). 150 cápsulas blandas · 5000 mcg.,1 cápsula blanda al día con comida.
Horbäach Cápsulas de raíz de maca para hombres y mujeres 120 Caps,Horbaach,61779,Suplemento en cápsulas con Raíz de maca (Lepidium meyenii). 120 cápsulas.,Tomar según indicación de la etiqueta.
Horbäach Picolinato de zinc 100 mg 180 cápsulas,Horbaach,84726,Suplemento en cápsulas con Zinc (como picolinato de zinc). 180 cápsulas · 100 mg.,1 cápsula al día con comida.
Horbäach Suplemento Ashwagandha | Fuerza máxima | 120 cápsulas,Horbaach,57275,Suplemento en cápsulas con Ashwagandha (Withania somnifera) y Raíz de jengibre y Pimienta negra. 120 cápsulas · fuerza máxima.,Tomar según indicación de la etiqueta.
Magnesium Bisglycinate 120 Capsules 750mg Horbäach,Horbäach,62811,Suplemento en cápsulas con Magnesio (como bisglicinato). 120 cápsulas · 750 mg.,"Tomar según etiqueta, preferiblemente por la noche."
"Mega Multivitaminico Hombre X90 capsulas, Piping Rock",Piping Rock,25461,"Suplemento en cápsulas con Vitaminas A, C, D, E y Complejo B y Minerales y antioxidantes. 90 cápsulas.","Tomar según indicación de la etiqueta, con comida."
"Metilcobalamina B-12 (sublingual)1000 mcg x 120 Comp, Piping Rock",Piping Rock,49457,Suplemento en tabletas con Vitamina B12 (metilcobalamina). 120 comprimidos sublinguales · 1000 mcg.,Disolver 1 comprimido bajo la lengua al día.
