SKU,Categoria,Marca,Nombre,Nombre en espanol,Presentacion,Precio COP,Stock,Verificada,Entra al Training
AliCel-281,Alimentos y Bebidas,Celsius,Sparkling Lemon Lime,Bebida energética sabor limón,Pack de 14 latas de 355 ml cada una,95000,9,si,si
AliCel-280,Alimentos y Bebidas,CELSIUS,On-The-Go Powder Stick (Orange),"Sobre en polvo para bebida energética, naranja",Caja con 14 sobres individuales,95000,0,si,no
AniMil-002,Animales y mascotas,Milk-Bone,Original Biscuits · Large,"Galletas para perro, tamaño grande",Caja de 680 g (24 oz),54952,13,si,si
AniMil-001,Animales y mascotas,Milk-Bone,Original Biscuits · Medium,"Galletas para perro, tamaño mediano",Caja de 24 onzas (680 g),52673,10,si,si
AniCos-141,Animales y mascotas,"Nutramax Laboratories, Veterinary Sciences, Inc.",Cosequin® Maximum Strength Plus MSM,Soporte articular para perros en tabletas masticables,Frasco de 180 tabletas masticables,170483,7,si,si
AniPip-316,Animales y mascotas,Piping Rock,Digestive Aid Probiotics for Dogs & Cats,Probióticos digestivos para perros y gatos,Envase con 120 tabletas masticables,43861,0,si,no
AniVit-001,Animales y mascotas,Vital Essentials,Freeze-Dried Raw Minnows Cat Treats,"Pececitos liofilizados, premio para gatos","Bolsa de 1 oz (28,3 g)",81292,1,si,si
Beba+D-406,Bebes,A+D,Prevent & Heal Original Ointment,Ungüento para la pañalitis,Tubo de 113 g (4 oz),60000,14,si,si
BebAqu-163,Bebes,Aquaphor,Baby 3-in-1 Diaper Rash Cream,Crema para pañalitis 3 en 1,Tubo de 99 g,60000,2,si,si
Bebdes-407,Bebes,Desitin (Kenvue Brands LLC),Multi-Purpose Healing Ointment,Ungüento cicatrizante multiusos,Tubo de 99 g (3.5 oz),42901,19,si,si
BebDrb-001,Bebes,Dr. Brown's,Anti-colic Options+ Bottle to Sippy — Kit de Inicio,"Kit anticólico de transición, de biberón a vaso","Kit que incluye biberón de 270 mL (9 oz), tetina Nivel 3, boquilla de transición (sippy spout) y cepillo de limpieza.",30000,1,si,si
BebEuc-388,Bebes,Eucerin,Baby Eczema Relief Cream Body Wash,Jabón líquido en crema para eczema en bebés,Botella de 400 mL,77752,2,si,si
BebMed-383,Bebes,Medela,Bolsas para almacenar leche materna,"",Caja con 100 unidades,,0,no,no
BebMed-230,Bebes,Medela,Harmony — Extractor de leche manual,"","Unidad individual que incluye extractor manual, embudo PersonalFit Flex de 24 mm y biberón de 150 mL",,0,no,no
BebMed-393,Bebes,Medela,Recolector de leche materna de silicona,"",Unidad individual de 100 mL,82346,0,si,no
BebMed-394,Bebes,Medela,Set Medela Harmony (Extractor manual + Recolector de silicona),"",Set que incluye un extractor de leche manual Harmony y un recolector de leche materna de silicona de 100 mL,,0,no,no
BebMom-001,Bebes,Momcozy,Extractor de Leche Eléctrico Manos Libres Momcozy M5,"",Extractor de leche portátil tipo wearable (se coloca dentro del sujetador) con motor y copa integrados,635700,0,si,no
BebMom-003,Bebes,Momcozy,Juego de colector de repuesto para extractor Momcozy M5,"","Juego de 4 piezas: 1 colector de 160 mL, 1 embudo de 24 mm, 1 válvula y 1 diafragma",78274,12,si,si
BebMom-002,Bebes,Momcozy,Kit de limpieza de biberones 7 en 1,"",Kit compacto de viaje con estuche de almacenamiento y organizador,45856,11,si,si
BelLum-001,Belleza y cuidado personal,Bausch + Lomb,LUMIFY Redness Reliever Eye Drops,Gotas para el enrojecimiento de los ojos,Frasco gotero oftálmico,115000,8,si,si
BelCoe-331,Belleza y cuidado personal,Coera,Niacinamide Serum with Zinc,Sérum de niacinamida con zinc,Frasco de 118 ml (4 fl oz),60000,9,si,si
BelFix-001,Belleza y cuidado personal,Fixodent (Procter & Gamble),Extra Hold Denture Adhesive Powder,Polvo adhesivo para prótesis dental,Envase de 76 g (2.7 oz),50000,56,si,si
BelDif-001,Belleza y cuidado personal,Galderma,Differin Adapalene Gel 0.1% Acne Treatment,Gel de adapaleno 0.1% para el acné,Tubo de 15 g,62604,11,si,si
